review,cluster,action_cluster
나의 가계부 지출  년 월 생활비 정산 만 원 가계부  인 가구 자취 생활비 식비 아끼기 고정지출 생활비 아끼기 무지출 직장인 짠테크 벌써 가계부를 작성한지 개월이 되었습니다월 생활비 원 월 생활비 원 월 생활비 원지난달 대비 원 오바가계부를 쓰고 있다는 게 의미가 없을 정도로비슷비슷한 개월 사실 이번 달 초부터저녁 약속 시험 원서 접수비 고양이 용품 등화끈하게 돈을 써버렸기 때문에남은 한 달을 쪼들린 사람 이츠미 그래도 이번 달은 당근 거래로무려 원이나 벌었답니다당근 거래 처음 해봐서떨려 했던 애송이는 중고거래 만렙이 되었습니다 이번 달은 갑작스럽게 생긴 약속이 있어서예상 비용은 벗어났지만그래도 힐링할 수 있어서 좋은 지출이었다고 봅니다 고양이 모래가 한 달에 만 원씩 들 줄은 몰랐습니다고양이 간식 밥 장난감도 아닌모래가 제일 비쌉니다 이번 달에 타투를 안 했다면 전월보다덜 썼던 거였는데 말이죠 하하후회는 전혀 없습니다이제부터는그저 가계부를 작성하는 것이 아닌분석을 해야겠습니다 외식 식비 공부 고양이 약 기타 약속을 줄이는 것밖에는 답이 없습니다물가가 후덜덜하네요월은 여름휴가 제외하고는공부에 열중할 터라생활비 만 원으로 목표해 보겠습니다파이팅 ,2,4
신혼부부가계부 신혼부부 가계부화목 화목 신혼부부 가계부입당 화연휴 끝나고 오랜만에 출근하니너무 힘들어요 힘든 몸을 이끌고 끌려가는 필라테스 그래도 다녀오면 잘했다 싶어요 식빵 들고 집으로저녁은 김치찌개 수손목도 아프고 발목도 점점 아파와요출근길에 포인트로 발목보호대 구매 출근 못 할거 같았지만 합니다 퇴근후 오후에 병원에 갔어야했는데 퇴근하니 좀 나은거같아 그냥 집에가서 쉬었어요 저녁먹고 야식으로 시장곱창 목또 아침에 일어나니 발목이 아파요출근 못하나 했지만 합니다 출근전 병원가서 약처방 받고 열일 여기저기 안아픈곳이없네요 퇴근해서 오랜만에 샐러드 그리고 토포샵 겅부다음주부터 포토샵 일러스트 학원에 다닐거라 틈틈히 유튭 보고 공부중입니다 경제적자유를 앞당기자 ,2,4
 카카오뱅크 청년전세자금대출 연장 년  금리변동 카카오뱅크 청년전세자금대출 서류금리승인 받는  와  오랜만에 쓴다 대 초반이고 자취 년차 햇수로 년차인데 그동안 계속 고시원원룸룸 월세살 탄 카카오뱅크 청년전세자금대출 서류금리승인 받는  탄은 여기 날짜로 대출을 받았당 맨 위에 뜨는건 탄와 대출 진짜 오랜만에 쓴다지금 서울의 어느 역세권걸어서 분거리니까 투룸 전셋집에서 년째 살고있다중간에 보일러가 동파되기도 하고다사다난 했지만 그래도 이만한 집 구하기도 힘들고 집들이 너무 비싸서 그냥 이사 안가고 년 더 살기로함집주인 할머니는 학생이 원하는만큼 살다가라고 구두계약 분만에 끝 이렇게 만료날짜월말 한참 전부터 문자가 온다 문자가 계속온다절대 잊어버려서 연장 못함이런건 있을수가 없다 지겨울정도로 자주 문자가 오니까 한달전부터 카카오뱅크 앱에 연장하기 버튼이 활성화되는데그 버튼만 눌러주면 알아서 신청됨그리고 인가 이틀뒤에 카뱅에서 전화와서 신청한거 맞냐 집주인이랑 협의했냐 물어보고집주인 번호 알려달라길래 알려주고 끝처음 대출 신청할때도 쉬웠는데 연장하는건 더 쉬웠다구두계약 했다니까 뭐 더 물어보는것도 없었구 이렇게 연장이 되었당근데 진짜 이자가 점점 올라년전에 처음 대출받았을대 퍼센트였나 그랬는데퍼로 잠깐 이자 낮아지길래 좋아했는데 그 뒤로 계속 쭉쭉 오르더니지금은 까지 올랐다 그래도 한달 이자 만원 내면서 나홀로 투룸 사는게 어디야예전에 고시원살면서 만원씩 내고 평짜리 원룸살때도 만원씩 월세내던거 생각하면 용된거지 뭐처음 대출받을때는 직장인이었고지금은 실업급여 받는 백수인데 연장신청 잘만 되더라카뱅 대출 편리하고 참 좋다 ,2,4
  직장인은 잠을 줄여야 한다 갓생살기 갓생살기 미라클 모닝시에 일어나 공복에 애플 사이다 식초 콜라겐 엘 카르니틴에 올가닉 콜드브루를 먹었다 그러고 나서 사이클을 타며 이 글을 쓴다 사진엔 안 보이지만 홍삼 글루타티온 잔티젠 등등 엄마가 배탈 나겠다며 새벽 시 분까지는 출근해야 하는 직장 특성상 시에는 일어나야 한다 그마저도 배가 아프다든지 갑자기 화장실에 가야 한다든지 하는 중간 변수가 생기면 일이 꼬여버린다 출근 전 여유 있게 풀 메이크업을 한다든지 간단히 독서 혹은 홈트라도 하려 하면 시에는 일어나야더욱이 화 목에는 영어학원을 가기 때문에 집에 오면 시가 훌쩍 넘는다 많아야 시간만 자고 출근하는 날이 종종 있다 오전 근무가 시간은 여유롭고 아침형 인간이 되는 데는 적합하나 과연 뇌 최적화에도 좋을까라는 생각이 들었다 가 나은가요 저는 출근해서 비몽사몽하는 날이 깨나 많았기 때문 일하면서 물론 깨긴 하지만 출근하자마자 듣는 소리가 피곤해 보인다고 한 달 전 이브닝 근무를 할 때는 잠은 에 시간 이상은 잤다 출근 전 네일케어를 받거나 간단하게나마 책을 읽는다든지 헬스장에서 오전 운동을 하기도 했다단점 내 개인 시간 없음약속 역량 개발 공부 독서 운동 등 공부 이래도 안되면 포기하세요 이지훈 위즈덤하우스 직장인의 공부는 무엇보다도 시간 확보가 관건입니다 절절한 마음으로 시간을 확보하십시오 나에게 월급을 주는 회사 일에 충실한 것은 입니다 따라서 직장인이 확보할 시간은 결국 퇴근 후의 시간을 의미합니다 퇴근 후 내 시간을 최대한 확보하십시오 잠을 줄이십시오 잠잘 것 다 자고 할 수 없습니다 직장인이 퇴근 후의 시간을 오롯이 내 것으로 확보하려면 어떻게 해야 할까요 일단 약속을 하면 안 됩니다 이지훈 크으직장인 입장에서  잠 줄이기 주 일 모두 줄이는 건 반대 일만 퇴근 후 낮잠 필수 약속 잡지 않기잡고 싶어도 시간이 없고 있다 한들 너무 피곤함 계란 치즈 버터 대패삼겹 반은 아침반은 점심 살쪘을 때 사진 발견작년 말올해 초 학부모님 천하장사 팔뚝 저 때는 자기애 만렙인 답게 나름 괜찮다고 생각했다살 빼라는 소리 따위 가볍게 무시하던 나날들 얼마 전 친구가 찍어준 무보정 근본 피부과 어제 퇴근 후 흉터 치료하러 간 방배동 피부과에르메스와 바이레도로비에는 명품 스피커까지한 끗 차이는 사소한 디테일에서 나오는 듯하다 치료받고 너무 배고파서 순대국한 그릇에 원 실화입니까무지출라도 해야하는 건가이 날 가방에 키토쿠키랑 고구마 챙겨갔으나간에 기별도 안 갈 것같아순대국 먹었읍니다  시 분 조기퇴근 ,2,3
가계부 월 가계부 언박싱 인가구 대 직장인 식비 만원 지출 원부수입 원 가계부 대 직장인인 가구가계부 기준은 급여일 중고판매로 인한 부수입이 어플에 연동되지 않아서 총수입에서 만원 차이 발생하는 것으로 보인다 총 지출 원 주거통신 만 월세 대출 이자 관리비 인터넷 통신비식비 만 배달 번만 약속 번만약속이 있었음에도 식비 지출이 크지 않았다 비싼 레스토랑 가는게 아니니까 뭐 배달은 최대한 먹고 싶어도 참고 먹더라도 쿠폰을 사용해서 만원 미만 발생경조선물 약 만 생일선물 만 오랜만에 만나는 지인 선물들 만정말 오랜만에 뵙는 분들이라서 선물을 준비해갔다 받는 분도 기분 좋고 나도 기분 좋고 투자한 가치가 있다고 생각한다문화여가 만 고민이 너무 많아서 점을 봐가지고 큰 지출 발생그렇지만 너무 힘들었는걸요 생활비 만 책꽂이 못 기 식재료고구마 우유 과자 등 옷 수선비온라인 쇼핑 만 책을 넣고 다닐만한 가방이 필요해서 개월 할부 구매 핸드폰 케이스가 낡아서 만 원짜리 케이스 구매 교육학습 만교통 만 택시 안 탔음 택시 안 타고 약속도 많이 없으면 교통비는 보통 만원 아래로 나온다 월부터 올라갈 대중교통비가 무섭군 부수입 만 이자 만 중고거래 만 에어팟 주식 관련 만이자 수입이 더 많아지면 좋겠다 부수입 가계부 일 달성무지출 데이에 큰 의의를 두지는 않으나 그저 매일 아끼려 노력하니 무지출 일이 발생 그 날  교통비는 무조건 발생하니 무지출이라고 생각하지는 않는 편 다른 재테크러를 보니 비상금은 총 자산에 포함하지 않더라 나도 추후 사용할 때를 대비해 년부터 소비저축 비상금은 자산에 포함하지 않기로 했다 부수입 외의 수입에 대해서는 에 공개하지 않기로 했고 월 가계부부터는 조금 더 상세하게 지출 내역을 처럼 작성할 예정 경조사가 많이 없는 달이었지만 지인 선물로 인해 비용이 많이 발생했다 하지만 투자할만한 가치가 있는 소비여서 전혀 아깝지 않다 근로자로서 근로소득을 제일 빨리 올릴 수 있는 방법은 승진이직이다 이직 트라이를 해보았으나 실패했다 계속 두드려보되 현 진장에서 최대한 잘 다녀보자 마음이 붕 뜨면 고생하는건 나 자신이더라 적금을 추가 가입했다 어느 전문가는 까지 올리라고도 하지만 인가구로서 는 무리다 다만 월 저축 소비하고도 남은 돈을 그대로 파킹통장에 옮겨서 저축하고 있으니 뭐 월에는 안 하고자 다짐했던 쇼핑을 좀 하고싶다 분 전환 ,2,4
   년 직장인 월 째주국장개미의 버티기 한주 자체  휴식을 갖고 돌아왔다카드값 리셋이 일인데 저번달에 못사던 필수품을 사면서 짠테크도 적당히 했고 주식도 의도적으로 멀리하며 정보와 멀어지기 위해서 노력했다이렇게 장이 안 좋을때는 버티는 것이 답인 것 같다장이 안 좋을 것 같다는 것을 예상했어서 현금을 보유하고 있었는데 이미 를 썼다떨어지는 칼날을 잡은 것 같아서 마음이 좋지 않다반등 시그널 오기 전까지 돈을 더 모아놔야 할텐데 그래서 은 친구들에게 짠테크를 시작했다고 말하고 다닌다너무 인가 싶기도 한데 친구들과 경제생활에 대해 하는 것이 더 좋다고 생각하는 편이다생각해보면 내가 얻는 정보 중에 유용한 정보는 오프라인에서 얻은 것 같고 친구들과 재테크하는 과정 중에 힘듦을 하고 위로받고 싶다는 마음이 크다 오프라인으로 아껴서 재테크 하는 친구들 만나려면 어디로 가야할까 음음온라인 월부 카페라도 가입해야할까 싶다 친오빠가 회사 근처에 미팅와서 같이 점심을 먹었다 오랜만에 만나는 거라 근황토크 계속 종알종알했다 그나저마 육아가 정말 힘들긴 해보이는게오빠가 조카 생긴 다음부터 점점 말라가서 이제 뼈만 있는 듯 안타까움 오랜 만의  끝 ,2,3
요 즘 가계부쓰기 재정비 본격 가계부를 적은건 년 월일부터였다어느 책 하나로 시작된 가계부 쓰기와 통장쪼개기 덕분에 많은 것이 바뀌었다실행력 하난 나름 괜찮다고 생각하며 책에서 나온대로 추진해서 시작해온 것들이 나와 가족을 많이 바꾸어놓았다한참 앱테크에 빠져 절약했던게 엊그제 같은데 또 가계부는 무슨 마냥 줄줄이 쓰기만하고정산을 안하기 시작 절약도 같이 잊혀져감월 말일자 회사마감 다하고 나니 우리집 가계부 마감도 생각이 나서 열어보니월까지 정산해놓고 여태 안했네 큼 반성하자앱테크 혜택이 줄어가면서 다 줄였더니 전처럼 절약생활이 안된다 다시 돌아가보자 가계부 재정비 시작 위의 캡쳐본은 월정산내역이다 엑셀은 직장인 답게 엑셀이 제일 편해서 엑셀로 항목별로 분류해가며 일일 가계부를 적은 후 정산시트에서 합계 내역을 추려본다 몇달치 안한덕에 지금은 의미가 없다만 ,2,4
   사회초년생 시드머니 만들기 나는 매달매년 얼마를 모아야할까 투자를 하기 위해서는 가장 적으로 마련되야하는 것이바로 시드머니일 것이다대출을 해서 이윤을 얻어 대출이자를 상환해나가면 되지않나 라고 말할 수도 있을 것 같은데물론 그렇게 해도 된다본인의 투자 마인드에 따라서 각자가 알아서 하면 될 일이지만나 같은 경우엔 사회초년생이기도 할 뿐더러이태까지 살아온 환경이나 나의 성격 등을 다 따져보았을 때어느정도 나만의 온전한 시드머니를 가지고서야 투자를 할 수 있을 것 같다는 판단이 들었다시드머니를 가지고 주식부동산코인 등등 여러가지 투자처에다가 투자를 할 수 있을텐데은 그런 투자처를 말하는 것이 아니라 나는 매달매년 얼마를 모아야 할까 를  해보려 한다나의 시드머니를 위해서 출처 내 소득을 기준으로 얼마만큼의 돈을 투자를 위해모으는 것이 현명한 판단일까내가 취업하기 전어머니와 돈을 모으는 기준에 대해서 를 하다가 한 바탕 언성을 높였던 적이 있었다그 때 어머니께서는 월 는 무조건 거둬들여야 한다 라고 말씀을 하셨었다나는 그 때 니가 돈을 벌게 되면 월급의 를 엄마가 가지고 갈거다 라고생각을 해서 더 크게 반발을 했기도 하지만계산적인 부분이 없지는 않았다만약 내가 매월 만원을 벌어들인다면 매달 만원을 가지고 월세내고 통신비 내고 밥 값 내고 교통비 내 용돈까지 다 하라고절대 못해 취업을 한 지금그 때 생각했던 월급보다는 많은 급여를 받게되서 다행이지만이제 와서 생각해보면어머니의 말씀이 맞았다는 생각이 들고있다아니 오히려 보다 더 모으고 싶은데모으지 못 하고 있어서 매일매일 반성을 하는 이다그럼 직접 내 개인적인 소득을 가지고 나는 얼마를 모아야할까 한번 생각해보도록 하겠다 연 고정 수입 원 개월 원 연 고정 부가지급금 원 계 원 세후 기준으로 작성해보았다여기다가 비고정적인 부가지급금까지 포함하면아마 연 만원 정도가 될 듯한데그건 제외하고 하는 걸로 먼저 월소득 기준으로 얼마나 돈을 모아야하는가를 생각해보자권장비율은 각각 표에 고정되어있는 것처럼 계산되어 최소 이상을 매월 저축할 수 있도록 설계되어있다근데 저 는 최저 기준인거지절대 만족할만한 기준이 아니라 판단된다그래서 내 실제 저축 가능 금액을 토대로 계산해보았다 나는 현재 지방의 작은 아파트에 월세로 혼자 거주하고 있어서 월세관리비가스비를 모두 포함해서 만원으로 잡았다 주중에는 거의 회사에서 점심 저녁을 해결하고 집에 와서 밥을 먹더라도 혼자 지출하는 식비는 만원정도면 충분하다 의류비는 더 이상 안 쓰는게 맞다고 판단하기 때문에 안 쓸려고 월 만원으로 잡고 대신 외식비와 여가비 개인용돈은 자차를 가지고 다녀야하며 데이트 비용이 있기 때문에 가장 큰 비중을 두어 만원으로 잡았다 통신비는 집에서 쓰는 인터넷과 알뜰폰을 쓰고 있어 다 합쳐 만원 보험비는 최근 핸드폰 보험은 해지하고 운전자 보험만 하나 간단히 들어 만원이다 경조사는 매달 들어가야하는 계비가 만원이 있고 비정기적으로 있는 회사 경조사를 대비하여 만원을 추가해서 만원으로 최종 하였다이렇게 목표 범위를 하고 나니까 충분히 가능할 것 같다는 생각이 들었다그럼 매달 만원 깔끔하게 만원을 적금한다 생각하고 만원을 매월 들어오는 수입에서 적금할 수 있게된다거기다가 연 고정 부가지급금인 만원을 포함하면 총 만원을 적금할 수 있게되는데그럼 만원 기준으로 계산했을 때 즉 내 연 소득의 를 시드머니로써 구비할 수 있게되는 것이다그런데 현실적으로 내가연 고정 부가지급금을 하나도 안 쓸 것 같지는 않기 때문에 어느 정도의 타협이 필요할 것 같다 아직은 정신을 덜 차려서 그런진 몰라도조금은 쓰면서 돈을 모으고 싶다는 생각이 든다 내 타협안은 최소 만원은 매년 모으고나머지는 나를 위해 사용할 수 있도록 해보자는 것이다 연 소득 기준으로 작성해보았을 때도 비슷하다매월 약 만원을 저축 만원 매년 저축연 소득 기준으로 계산해서 사용해도 되긴하지만아무래도 매월 고정적으로 들어오는 돈을 기준으로 사용하는 것이내 자금을 운용하는데 훨씬 더 아낄 수 있고 효율적으로 운용할 수도 있을 것 같아서그렇게 써보려고 한다결론은 취업 전에 어머니가 하신 말씀이어느 정도 다 맞았다는 생각이 드는 이다 ,2,4
카카오뱅크가 미라클모닝을 이끈다 올빼미족 너무 나이가 티나나요 에게는 이게 무슨 일인가 싶겠지만 카카오뱅크가 일 미라클모닝 이벤트를 열었다 카뱅은 역시 트렌드를 잘 알아 미라클모닝을 넘어서 요새는 갓생이라는 단어로 삶을 열심히 가꾸며 살아감을 표현한다 뭐 그렇게까지 하냐 라는 생각도 있겠지만 난 억지로하는게 아니라는 전제하에 갓생이라는 단어 개인적으로 맘에 든다 그리고 이모티콘을 쓰려고 찾다가 발견한 로 받은 스티커에도 무려 갓생 이라는 단어가 언급되어 있다본인의 는 무계획은 정말 사랑하는 친구와 가족에게만 허용되는 나는 원래 계획적으로 시간을 정해서 일어나는 미라클 모닝을 좋아했고 매일은 아니라도 거의 미라클 모닝을 실천중이다 딱히 아침에 큰 일은 하지 않더라도 새벽시간에 일어나서 쓰고 책읽고 하는 시간이 좋아서 그 시간을 즐기는 편임 그런 나에게  갑자기 이 이벤트가 눈에 들어왔다 그럼 안 할 이유가 없지 카카오뱅크 일  참가 신청을 망설임 없이 눌렀다 혜택은 참여하면 원 입금 대신 입출금 알림 을 해놔야 한다 매일 스타벅스 명 추첨 증정당첨 결과는 익일에 개별로 안내해준다고 함 쿠폰은 이벤트가 끝난 다음날인 에 일괄적으로 발송된다 일 모두 참여한 고객에게 억 상금 나눠서 증정 카카오뱅크는 다양한 방법으로 고객 유치를 잘 하는 것 같다 카뱅 저금통 기능이라던지 모임통장이라던지 본인은 모임통장때문에 카뱅 개설한 인 고객의 삶에 스며드는 기획을 잘하는 것 같다 이번 미라클 모닝 기획도 트렌드에 맞는 굿 아이디어 이벤트라고 생각참고로 해당 이벤트는 카카오뱅크 어플로 참여가 가능주말에는 카운팅하지않고 이벤트 참여 시간도 오전시시다 참으로 혜자로운 이벤트군 이벤트 기간은 부터 까지 한다고 하니 같이 도전 하실 분 한번 참여해보시길 일 굿모닝  ,2,3
    주차쿠캣 침펄 티셔츠 이벤트 당첨 짜잘앱테크마이플레이스 토스 만보기 장충동 뚱뚱이할머니족발 이번주는 기말고사가 있었던 주였습니다 에 전공 시험 개 가있었는데 평소보다 기말이 한주정도 빨라져서 부랴부랴 준비를 했어요 그래서 제일 좋아하는 굴다리 국수를 먹었답니다 또빔국수 날이 더워져서 요근래 많이 찾았어요 여기는 비빔국수가 젤 맛있어요 굴다리국수 서울특별시 용산구 한강대로길 그리고 최근 시작한 짜잘 앱테크 개를 소개합니다  마이 플레이스영수증 하면 첫 방문시 원 재방문은 원이에요인증하고 사진  작성하면 마이플레이스에 인스타그램처럼 정리가 되는데 내가 갔던 곳 할 수 도 있고 다른 사람을 팔로우해서 원하는 지역의 를 확인할 수 있었어요사진첩처럼 저장되니까 괜히 사진 쓰게되더라고요포인트는 현금처럼 사용할 수 있으니까 다들 지갑속 영수증 인증해서 짜잘모음해봐요 토스 만보기이거는  보 쭉쭉 일정 걸음 이상 걸으면 포인트씩 지급되고내 주변 위치 방문하면 또 포인트 씩 지급되요편의점 카페 공원 등 다양한 장소가 뜨는데거의 동일한 곳에 미션장소가 떠서 오히려 좋았어요집근처 편의점은 갈때마다 토스 열고 포인트씩 적립하고 있어요 토스 포인트는 현금처럼 사용은 못하지만 토스로 앱결제 할 때 포인트 사용해서 그만큼 할인받을 수 있어요 토스 결제 가능한 쇼핑몰에서 사용할 수 있는데 카카오페이처럼 은 다양한 결제방법 등록되어 있으니까 저는 유용하게 사용하고 있어요 토스 만보기로 만난 고양이 토스 만보기로 만난 고양이 여기 한참살았는데 토스 만보기로 집근처 작은 어린이 공원을 알게 됐어요 어디 놀러가거나 할때 다른 지역에서 토스 만보기 켜서 보는것도 재밌더라고요 그리구 시험을 봤고요저는 열심히 문제를 풀었답니다아직 점수는 안받았지만 저는 홀가분해요 음 그리고 학교에서 하는 산학협력에 지원했어요결과적으로 서류탈락은 하긴 했지만 자소서를 써보면서 나를 되돌아 볼 수 있는 시간을 가질수 있었고 아쉽게는 했지만 나의 부족함들을 채우기 위해 더욱 노력해야겠다 생각했어요아직 차가 남았으니 끝까지 힘내자 짠짠 그리고 내가 좋아하는 침착맨 님의 쿠캣 광고 영상을 보다가침펄 티셔츠 이벤트가 있다길래 도전원래 이벤트 진짜 참여 잘 안하는데 해도 당첨이 안되서이번엔 쿠캣 적립금이랑 침펄 티셔츠 이건 너무 갖고 싶어서 인스타 비공개도 풀고 정말 열심히 쿠캣 야식 이벤트 월드컵 을 썼어요아니 근데 진짜 나에게도 이런일이 명 뽑는다고 해서 이거이거 열심히 쓰면 되지 않을까 하다가  개가 넘어서 어찌될까 했는데이런 당첨 첨이라 넘 감격스럽다쿠캣 광고 기획자가 되었다고 생각하고 까다로운 나만의 야식 알고리즘이란 내용으로 영상광고처럼 멘트 생각해서  써봤어요 이거로 광고 만들면 되겠네 하면서 쓴건데 쓸때는 너무 오바하나 싶었지만 당첨되니 정말 기쁘군요 나는 인간 서탈하긴 했지만 덕분에 기분이 좋아졌네요쿠캣아 고맙다 글고 쿠캣 마늘보쌈을 보니 갑자기 족발이 땡기지 않겠어요그래서 먹으러 갔죠 장충동 뚱뚱뚱이 할머니 보쌈에 갔다왔습니다 검색했는데 둘이거 머서양이 엄청 많더라고요친구가 다 먹을 수 있을거라고 호헌장담하길래 일단 오케이 했습니다 짠 막국수 면이 냉면국수였어요 막국수 야채 싱싱하고 족발이랑 궁합 굿 역시 양이 어마어마 했어요뚱뚱이 할머니 족발 둘이서 머거는 둘이서 머그면 안돼요셋이 드세요양이 많아서 남겼지만 고기는 진짜 맛있었어요 이래서 원조인가 남은건 포장해서 싸갔습니다 뚱뚱이할머니집 서울특별시 중구 장충단로 예약 한주평가 이래저래 일이 많았지만 어쨌듯 웃으며 마무리 할 수 있었던 한주였다 에서 하는 한주와 함께 하는 습관을 만들어 가고 싶다한주를 돌아볼 수 있게 해준 야 고맙다 ,2,3
